Entity,Code,Year,All malignant cancers combined,Brain and nervous system cancers,Leukemia,Lymphomas and multiple myeloma
Czechia,CZE,2018,1.1127493,1.3613341,0.38895258,0.22226124
Czechia,CZE,2019,1.7672778,1.1447865,0.70423156,0
Czechia,CZE,2020,1.5337502,0.9830947,0.19661894,0
Czechia,CZE,2021,1.551981,1.0824482,0.4003876,0
Czechia,CZE,2022,1.6682765,0.8800557,0.3537544,0
Czechia,CZE,2023,1.8305539,0.67078334,0.47913095,0.21990491
Denmark,DNK,1951,5.6390977,,4.6420717,0.54017556
Denmark,DNK,1952,6.699147,,3.7827945,1.2101654
Denmark,DNK,1953,5.260082,,5.7443166,0.733317
Denmark,DNK,1954,7.7540846,,5.8031855,0.7408322
Denmark,DNK,1955,5.2042675,,4.1483345,0.8799497
Denmark,DNK,1956,6.8610635,,3.8629925,0
Denmark,DNK,1957,5.172819,,5.784907,1.3147515
Denmark,DNK,1958,6.9444447,,5.0768204,1.0688043
Denmark,DNK,1959,3.9691806,,6.069598,0.7490637
Denmark,DNK,1960,5.760922,,4.194858,0.9026629
Denmark,DNK,1961,5.728518,,5.9515758,0.9468416
Denmark,DNK,1962,7.501293,,4.5865374,0.94428706
Denmark,DNK,1963,6.0878773,,6.1761546,1.3326226
Denmark,DNK,1964,6.423983,,6.783719,0.7980846
Denmark,DNK,1965,7.543103,,4.9980273,1.034279
Denmark,DNK,1966,4.8556786,,5.0544324,0.9072058
Denmark,DNK,1967,5.1199136,,4.7278304,0.5111168
Denmark,DNK,1968,5.680281,,4.32625,0.42432815
Denmark,DNK,1969,4.8886476,,5.2315936,0.8931989
Denmark,DNK,1970,4.073873,,4.6165686,0.5636979
Denmark,DNK,1971,3.5259018,,5.9133563,0.98870057
Denmark,DNK,1972,6.502303,,4.2383766,1.4202528
Denmark,DNK,1973,4.304547,,4.3713036,0.28445455
Denmark,DNK,1974,5.205622,,3.2769694,0.6553939
Denmark,DNK,1975,5.9171596,,4.0961943,0.29107845
Denmark,DNK,1976,5.9464817,,1.9548873,0.6015038
Denmark,DNK,1977,3.3980582,,3.9938557,0.697188
Denmark,DNK,1978,3.164557,,1.2847966,0.8250825
Denmark,DNK,1979,4.2288556,,2.8998115,0.6357279
Denmark,DNK,1980,4.3578568,,2.8019466,0.82394946
Denmark,DNK,1981,4.5068927,,2.8085246,0.5555556
Denmark,DNK,1982,4.617056,,2.2218425,0.8605852
Denmark,DNK,1983,6.313478,,2.1090202,0.7083407
Denmark,DNK,1984,3.5792952,,1.5080429,0.73327225
Denmark,DNK,1985,4.669047,,1.9004837,1.3631407
Denmark,DNK,1986,5.826859,,1.9431196,0.5621135
Denmark,DNK,1987,2.8579595,,2.1440058,0.68657744
Denmark,DNK,1988,2.65252,,1.9784173,0
Denmark,DNK,1989,2.1257212,,1.9805546,0.36616623
Denmark,DNK,1990,2.8400126,,2.3268301,0.74822295
Denmark,DNK,1991,2.9712777,,1.9786308,0.3727171
Denmark,DNK,1992,3.394433,,0.96637034,0.3681885
Denmark,DNK,1993,1.7562346,,1.3328891,0.71968335
Denmark,DNK,1994,1.447178,2.1076524,2.2697794,0
Denmark,DNK,1995,5.152742,1.4157622,0.94384146,0
Denmark,DNK,1996,4.008746,1.0716473,1.3684571,0.3239391
Denmark,DNK,1997,5.03416,1.8015313,0.6005104,0.516129
Denmark,DNK,1998,2.8119507,1.3144922,0.9858692,0.30321407
Denmark,DNK,1999,3.0659904,0.88182384,0.9776907,0.36206567
Denmark,DNK,2000,3.6235704,0.7311374,0.32379016,0
Denmark,DNK,2001,4.7836056,2.1879795,1.2921128,0
Denmark,DNK,2002,2.1596272,0.48364708,0.87651896,0
Denmark,DNK,2003,2.0916688,1.3245871,0.6493327,0.3746006
Denmark,DNK,2004,2.6321023,1.6384847,1.1469393,0.2882085
Denmark,DNK,2005,1.4337658,0.74854,0.99412143,0.29253367
Denmark,DNK,2006,0.853796,0.45275092,0.45275092,0.5908262
Denmark,DNK,2007,1.4172416,0.9117045,1.0106114,0.29967576
Denmark,DNK,2008,2.856498,0.5060592,0.75997776,0.6125631
Denmark,DNK,2009,2.0108066,1.0138149,0.6758766,0
Denmark,DNK,2010,0.8738356,0.51000893,0.7650134,0.38100317
Denmark,DNK,2011,2.0553234,0.8492857,1.3588572,0.30529132
Denmark,DNK,2012,0.8922278,0.68219805,0.30465513,0
Denmark,DNK,2013,1.7969775,0.7820027,0.79547215,0.3977361
Denmark,DNK,2014,1.803562,0.6948546,0.6948546,0
Denmark,DNK,2015,1.8039633,0.5265218,0.602949,0.42003748
Denmark,DNK,2016,2.1009097,0.95760214,0.5300897,0
Denmark,DNK,2017,1.1936735,1.24322,0.3552057,0
Denmark,DNK,2018,1.4783976,0.8947745,0.6610063,0
Denmark,DNK,2019,1.4748392,0.812225,0.36061183,0.40775385
Denmark,DNK,2020,2.0671651,0.6625434,1.2103655,0
Denmark,DNK,2021,0.89269507,1.6672447,0.33344892,0
Denmark,DNK,2022,1.2300161,0.5450126,0.36334172,0
Dominica,DMA,1961,,,0,0
Dominica,DMA,1962,,,0,0
Dominica,DMA,1967,,,0,0
Dominica,DMA,1968,,,0,0
Dominica,DMA,1969,,,0,0
Dominica,DMA,1970,,,0,0
Dominica,DMA,1971,,,0,0
Dominica,DMA,1972,,,0,0
Dominica,DMA,1973,,,0,0
Dominica,DMA,1974,,,0,0
Dominica,DMA,1975,,,0,0
Dominica,DMA,1976,,,0,0
Dominica,DMA,1977,,,0,0
Dominica,DMA,1978,,,0,0
Dominica,DMA,1979,,,0,0
Dominica,DMA,1980,,,0,0
Dominica,DMA,1981,,,0,0
Dominica,DMA,1982,,,0,0
Dominica,DMA,1983,,,0,0
Dominica,DMA,1984,,,0,0
Dominica,DMA,1985,,,0,0
Dominica,DMA,1986,,,0,0
Dominica,DMA,1987,,,0,0
Dominica,DMA,1988,,,0,0
Dominica,DMA,1989,,,0,0
Dominica,DMA,1990,,,0,0
Dominica,DMA,1991,,,0,0
Dominica,DMA,1992,,,0,0
Dominica,DMA,1993,,,0,0
Dominica,DMA,1994,,,0,0
Dominica,DMA,1995,,,0,0
Dominica,DMA,1996,,,0,0
Dominica,DMA,1997,,,0,0
Dominica,DMA,1998,,,0,0
Dominica,DMA,1999,,,0,0
Dominica,DMA,2000,,0,0,0
Dominica,DMA,2001,,0,0,0
Dominica,DMA,2002,,0,0,0
Dominica,DMA,2003,,0,0,0
Dominica,DMA,2004,,0,0,0
Dominica,DMA,2005,,0,0,0
Dominica,DMA,2006,,0,0,0
Dominica,DMA,2007,,0,0,0
Dominica,DMA,2008,,0,0,0
Dominica,DMA,2009,,0,0,0
Dominica,DMA,2010,,0,0,0
Dominica,DMA,2011,,0,0,0
Dominica,DMA,2012,,0,0,0
Dominica,DMA,2013,,0,0,0
Dominica,DMA,2014,,0,0,0
Dominica,DMA,2015,,0,0,0
Dominica,DMA,2016,,0,0,0
Dominica,DMA,2017,,0,0,0
Dominica,DMA,2018,,0,0,0
Dominica,DMA,2019,,0,0,0
Dominica,DMA,2020,,0,0,0
Dominica,DMA,2022,,0,0,0
Dominican Republic,DOM,1965,0.98257697,,0.31372106,0
Dominican Republic,DOM,1966,0.7530333,,0.2369599,0.30406412
Dominican Republic,DOM,1967,1.2650633,,0.23162518,0.48532537
Dominican Republic,DOM,1968,1.216137,,0.53836125,0
Dominican Republic,DOM,1969,1.1708897,,0.22323172,0.14882115
Dominican Republic,DOM,1970,1.2173913,,1.1063578,0.2466294
Dominican Republic,DOM,1971,2.5337837,,0.64483774,0
Dominican Republic,DOM,1972,2.2977188,,0.77591556,0.15518312
Dominican Republic,DOM,1973,1.2710518,,0.74753654,0.20387359
Dominican Republic,DOM,1974,2.3155296,,0.2942258,0.19805902
Dominican Republic,DOM,1975,1.3495277,,0.7053995,0.21433164
Dominican Republic,DOM,1976,1.7525923,,1.4249427,0.15253203
Dominican Republic,DOM,1977,2.4045262,,0.8433735,0.14814815
Dominican Republic,DOM,1978,1.5107815,,0.8775009,0.13043761
Dominican Republic,DOM,1979,4.527297,,0.9631728,0.1908397
Dominican Republic,DOM,1980,1.4175258,,0.77177507,0.21715526
Dominican Republic,DOM,1981,1.9582245,,1.7251636,0.36057693
Dominican Republic,DOM,1982,1.7073171,,0.9921671,0.61728394
Dominican Republic,DOM,1983,2.5688074,,1.0020598,0.27834994
Dominican Republic,DOM,1984,2.2140222,,1.6746411,0.2886003
Dominican Republic,DOM,1985,2.6474128,,0.9356725,0.19607843
Dominican Republic,DOM,1986,0.6095502,,0.71431243,0.13391201
Dominican Republic,DOM,1987,2.2936335,,1.3064502,0.42588273
Dominican Republic,DOM,1988,1.6727583,,0.5394322,0.2632677
Dominican Republic,DOM,1989,1.536554,,0.48106655,0.21992257
Dominican Republic,DOM,1990,1.0517287,,0.6884044,0.10883927
Dominican Republic,DOM,1991,1.6196749,,0.36737365,0.117247105
Dominican Republic,DOM,1992,1.7172492,,0.8316458,0
Dominican Republic,DOM,1994,1.0079448,,0.9185928,0.20413174
Dominican Republic,DOM,1995,1.883016,,0.7093765,0.16982715
Dominican Republic,DOM,1996,1.7568363,0,1.1068648,0.24596737
Dominican Republic,DOM,1997,1.7413166,0.22308145,1.4500295,0.33462217
Dominican Republic,DOM,1998,1.8337362,0.10127516,0.6487544,0.5548965
Dominican Republic,DOM,1999,1.3893015,0.4012487,0.8463147,0.27633926
Dominican Republic,DOM,2000,1.5867962,0.22044653,0.54665744,0.27555817
Dominican Republic,DOM,2001,3.0343456,0.0989856,0.64625496,0.11023329
Dominican Republic,DOM,2002,2.894398,0.19749926,0.60667664,0.2962489
Dominican Republic,DOM,2003,2.4498596,0.3983191,0.69705844,0.44195014
Dominican Republic,DOM,2004,2.7247517,0.33239248,0.64863527,0.29775494
Dominican Republic,DOM,2005,0.9005394,0.15009712,0.5002785,0.16675949
Dominican Republic,DOM,2006,1.6934143,0.250848,0.4461169,0.27882305
Dominican Republic,DOM,2007,1.7911892,0.20126393,0.33568424,0.40202823
Dominican Republic,DOM,2008,0.79774636,0.25231448,0.45416605,0
Dominican Republic,DOM,2009,1.4013565,0.20259298,0.55650586,0
Dominican Republic,DOM,2010,1.8092397,0.20275564,0.5068891,0.1128444
Dominican Republic,DOM,2011,1.9207984,0.39474806,0.50648224,0.12625816
Dominican Republic,DOM,2012,2.2339404,0.7324769,1.2395763,0.39441064
Dominican Republic,DOM,2013,1.5280209,0.76040035,1.0102097,0.28137895
Dominican Republic,DOM,2014,1.531417,0.6181484,0.6743437,0.20376413
Dominican Republic,DOM,2015,1.0223966,0.3524756,0.5050134,0.12501985
Dominican Republic,DOM,2016,2.7691739,0.39148837,0.7530771,0.24872775
Dominican Republic,DOM,2017,1.5406928,0.7250386,0.5509838,0.1673166
Dominican Republic,DOM,2018,1.2325238,0.4500997,0.650144,0.11130496
Ecuador,ECU,1966,,,2.8345177,1.0743634
Ecuador,ECU,1967,,,1.5315702,0.9134089
Ecuador,ECU,1968,1.2508252,,1.4142979,0.5552666
Ecuador,ECU,1969,1.6266378,,1.1135799,0.42063466
Ecuador,ECU,1970,3.0361314,,1.9145262,0.35150272
Ecuador,ECU,1971,2.0566847,,1.6618214,0.30214933
Ecuador,ECU,1972,1.999038,,1.2774065,0.22185394
Ecuador,ECU,1973,2.547239,,0.9606102,0.19212203
Ecuador,ECU,1974,1.6483678,,0.98784435,0.15895464
Ecuador,ECU,1975,1.8296944,,1.5228925,0.20772196
Ecuador,ECU,1977,2.3012552,,1.1195521,0.19992003
Ecuador,ECU,1978,3.3512745,,1.3726836,0.3040702
Ecuador,ECU,1979,3.078451,,1.6026835,0.3821656
Ecuador,ECU,1980,2.5096526,,1.6222062,0.46863735
Ecuador,ECU,1981,3.5959373,,1.8853325,0.41896275
Ecuador,ECU,1982,4.2142725,,2.372976,0.35369018
Ecuador,ECU,1983,4.0043807,,2.5642674,0.5291346
Ecuador,ECU,1984,3.713528,,1.745718,0.23056653
Ecuador,ECU,1985,3.8673084,,1.5690042,0.21635656
Ecuador,ECU,1986,3.926811,,1.9611505,0.31129375
Ecuador,ECU,1987,4.898359,,2.6005132,0.58169377
Ecuador,ECU,1988,3.8107336,,1.896523,0.33272335
Ecuador,ECU,1989,3.7260506,,2.3131256,0.41039324
Ecuador,ECU,1990,4.2567186,,2.1350005,0.3299855
Ecuador,ECU,1991,5.186233,,2.1691973,0.3253796
Ecuador,ECU,1992,3.9654505,,1.8268347,0.36067387
Ecuador,ECU,1993,5.095302,,2.3006365,0.43528706
Ecuador,ECU,1994,3.6034935,,2.7295785,0.27995676
Ecuador,ECU,1995,3.3165603,,2.1805584,0.44995654
Ecuador,ECU,1996,4.1743417,,2.8396387,0.34408984
Ecuador,ECU,1997,5.3050833,0.43963507,1.9614488,0.3381808
Ecuador,ECU,1998,3.4596193,0.5686722,1.8398218,0.41152602
Ecuador,ECU,1999,4.5002117,0.69601506,1.8228966,0.33362544
Ecuador,ECU,2000,4.3001075,0.66216516,2.138941,0.55941534
Ecuador,ECU,2001,4.1090803,0.5825972,2.0225303,0.50977254
Ecuador,ECU,2002,4.6958656,0.616323,1.9462832,0.46982545
Ecuador,ECU,2003,4.024734,0.58179337,1.74538,0.2515887
Ecuador,ECU,2004,4.878575,0.5801593,2.675179,0.35781363
Ecuador,ECU,2005,5.235214,0.5787203,1.8326142,0.22505789
Ecuador,ECU,2006,4.772875,0.7076101,1.8976815,0.32103783
Ecuador,ECU,2007,4.3179355,0.67531306,1.8651503,0.28545675
Ecuador,ECU,2008,3.5455196,0.8568941,2.7325726,0.3927431
Ecuador,ECU,2009,4.486005,0.8358317,2.0252845,0.39317858
Ecuador,ECU,2010,3.8113573,0.85868084,2.025049,0.25044858
Ecuador,ECU,2011,4.572621,0.83427644,2.0536036,0.21447875
Ecuador,ECU,2012,4.2502494,0.99251485,2.433262,0.09604983
Ecuador,ECU,2013,4.838613,0.79801506,2.330204,0.3511266
Ecuador,ECU,2014,4.9122515,0.532124,2.3837743,0.17737466
Ecuador,ECU,2015,5.626065,0.9795724,2.243537,0.18959467
Ecuador,ECU,2016,5.298828,0.9108958,2.228094,0.38537902
Ecuador,ECU,2017,4.7757497,0.8408328,2.3356469,0.31141958
Ecuador,ECU,2018,6.187728,1.1374679,1.8844335,0.37915593
Ecuador,ECU,2019,5.5373907,0.6747148,1.8401313,0.17099126
Ecuador,ECU,2020,3.408268,0.9457765,1.5559549,0.16996431
Ecuador,ECU,2021,5.504352,0.7764337,1.6376196,0.10127396
Ecuador,ECU,2022,4.644661,1.0274533,1.9340297,0.2016228
Egypt,EGY,1965,2.6638086,,0.55220926,0.03681395
Egypt,EGY,1966,2.5614183,,0.44342485,0.07163806
Egypt,EGY,1967,3.4407659,,0.58703405,0.06991922
Egypt,EGY,1970,2.5062125,,0.74910635,0.10701519
Egypt,EGY,1971,3.0865958,,0.7692338,0.053785224
Egypt,EGY,1972,2.719312,,0.6059502,0.10536101
Egypt,EGY,1973,2.6147068,,0.55118006,0.11023601
Egypt,EGY,1974,3.1066444,,0.66149294,0.06343083
Egypt,EGY,1975,2.712284,,0.5000725,0.107158385
Egypt,EGY,1976,2.7859309,,0.56000984,0.1312523
Egypt,EGY,1977,3.0962508,,0.5912044,0.17993179
Egypt,EGY,1978,2.5795765,,0.6625117,0.1761107
Egypt,EGY,1979,2.6956224,,0.7795422,0.20760112
Egypt,EGY,1980,2.3491464,0.19249386,0.77799594,0.12030866
Egypt,EGY,1987,3.5205326,0.5158868,1.1362569,0.22202721
Egypt,EGY,1991,3.7035956,0.57660776,1.3093802,0.3844052
Egypt,EGY,1992,3.5810463,0.52964276,1.4996626,0.27374795
Egypt,EGY,2000,3.5955994,1.2278149,1.1388428,0.14828682
Egypt,EGY,2001,4.0838165,1.6809593,1.604284,0.023592414
Egypt,EGY,2002,4.2919564,1.5394949,2.3621256,0.04700748
Egypt,EGY,2003,4.2843013,1.9028878,2.1370895,0.03922895
Egypt,EGY,2004,3.8335242,1.7415265,2.1783643,0.032474242
Egypt,EGY,2005,3.9169197,1.613753,2.0244215,0.03223238
Egypt,EGY,2006,4.0272894,1.5566329,1.7002337,0.040208228
Egypt,EGY,2007,3.7952323,1.5601829,1.8164173,0.039858688
Egypt,EGY,2008,3.8410027,1.7336367,2.0601008,0.02519787
Egypt,EGY,2009,3.849006,1.6113379,2.070929,0.02486803
Egypt,EGY,2010,3.793468,1.7584703,1.8991479,0.01306004
Egypt,EGY,2011,4.1374006,1.5410666,1.7093743,0.026298068
Egypt,EGY,2012,4.10885,1.6224235,2.3271637,0.05070073
Egypt,EGY,2013,4.266704,1.513989,1.9326482,0.04868131
Egypt,EGY,2014,4.069151,1.8622632,1.9519473,0.036928732
Egypt,EGY,2015,3.4409869,1.3407377,1.7212173,0.031129211
Egypt,EGY,2016,3.6679287,1.414822,1.8806249,0.03975106
Egypt,EGY,2017,3.132864,1.049225,1.548453,0.04230746
Egypt,EGY,2018,3.2496414,1.1342365,1.4240049,0.03237341
Egypt,EGY,2019,2.9323828,1.145308,1.2833948,0.04153019
El Salvador,SLV,1990,2.281015,,1.3101885,0
El Salvador,SLV,1991,3.0483809,,1.3775177,0.27550355
El Salvador,SLV,1992,4.8949037,,1.5751414,0.3633721
El Salvador,SLV,1993,3.0701754,,1.9106928,0.64935064
El Salvador,SLV,1995,3.573082,,1.2114962,0.23006567
El Salvador,SLV,1996,3.2649965,,1.4043272,0.16057989
El Salvador,SLV,1997,3.5697103,0.7326115,0.9990156,0
El Salvador,SLV,1998,2.0091493,0.53175366,1.3958534,0.13715878
El Salvador,SLV,1999,1.8414962,0.36902058,1.1968197,0
El Salvador,SLV,2000,2.4291005,0.46706492,1.1343005,0.13402653
El Salvador,SLV,2001,3.292654,0.53860956,1.5485024,0.26623714
El Salvador,SLV,2002,2.6458642,0.54578745,1.2962452,0
El Salvador,SLV,2003,3.8892403,0.68482625,1.2491595,0.13338865
El Salvador,SLV,2004,2.2611902,0.5659121,0.5420461,0.26925763
El Salvador,SLV,2005,5.4313993,1.0818343,1.4424456,0.13636798
El Salvador,SLV,2006,4.153071,0.66579473,1.6227471,0
El Salvador,SLV,2007,3.869434,0.6466695,1.2483813,0
El Salvador,SLV,2008,2.2136168,0.34125295,0.6825059,0.8103662
El Salvador,SLV,2009,3.4731097,0.31522274,1.1820853,0.15199116
El Salvador,SLV,2010,4.7671328,0.3581806,1.0745418,0.26863545
El Salvador,SLV,2011,3.8758743,0.5444987,1.6293186,0.27224934
El Salvador,SLV,2012,3.8416018,0.7432108,0.7355138,0.16494328
El Salvador,SLV,2013,3.50965,0.5579636,1.4217495,0.21033192
El Salvador,SLV,2014,4.8795,0.7602295,1.0981094,0.8494012
El Salvador,SLV,2015,5.0038176,0.8498632,1.4467827,0.8618684
El Salvador,SLV,2016,4.631659,0.7720332,1.4280927,0.1703865
El Salvador,SLV,2017,3.1993804,0.5154515,1.5525326,0
El Salvador,SLV,2018,5.6223903,0.7791243,1.0388324,0
Estonia,EST,1981,3.8424592,,3.5035036,2.7173913
Estonia,EST,1982,13.901761,,4.014273,1.4910537
Estonia,EST,1985,6.30063,,3.0527692,1.0695187
Estonia,EST,1986,4.5045047,,2.9282577,1.7730496
Estonia,EST,1987,3.6036036,,2.3877747,0
Estonia,EST,1988,7.207207,,3.786086,0.9465215
Estonia,EST,1989,6.2878957,,1.4031346,0.9354231
Estonia,EST,1990,8.07595,,2.3283753,0.84908384
Estonia,EST,1991,1.7966385,,1.8754337,0
Estonia,EST,1992,4.561461,,2.906526,2.221926
Estonia,EST,1993,6.5020714,,4.075208,0.8773777
Estonia,EST,1994,6.5208483,0.89302456,1.0728405,0
Estonia,EST,1995,2.7927241,3.4026337,2.2684224,0.91052294
Estonia,EST,1996,6.538573,4.455013,5.40586,0
Estonia,EST,1997,3.7326317,1.9162227,3.8324454,0
Estonia,EST,1998,5.5773487,3.4171913,1.0638185,1.3668765
Estonia,EST,1999,2.7916067,0,1.4697021,0
Estonia,EST,2000,1.9159842,1.5475085,1.5475085,0
Estonia,EST,2001,7.8258743,1.6266114,2.207993,7.7429347
Estonia,EST,2002,3.0531244,2.5335698,0,0
Estonia,EST,2003,4.330879,2.599766,1.5389351,1.5389351
Estonia,EST,2004,3.5306578,0,1.5912164,0
Estonia,EST,2005,5.1417184,0,1.614596,0
Estonia,EST,2006,2.7750797,4.4185877,0,0
Estonia,EST,2007,1.4846708,1.7166646,0,0
Estonia,EST,2008,0,0,0,0
Estonia,EST,2009,1.6250914,0,3.5940197,0
Estonia,EST,2010,1.6486686,3.2575943,3.1658092,1.5395274
Estonia,EST,2011,3.3218176,1.546623,1.5953289,0
Estonia,EST,2012,0,2.2522354,1.5817529,0
Estonia,EST,2013,1.6439257,4.1845675,0,0
Estonia,EST,2014,1.6100208,3.3846674,3.3846674,0
Estonia,EST,2015,1.5724506,2.7224588,0,1.7445309
Estonia,EST,2016,3.0578935,1.5030644,0,0
Estonia,EST,2017,2.8934767,2.9761462,1.2868688,0
Estonia,EST,2018,2.7895558,1.3034071,0,0
Estonia,EST,2019,1.3543712,3.8099883,0,1.326735
Estonia,EST,2020,0,5.387641,2.6851044,0
Estonia,EST,2021,2.6225038,0,1.819141,0
Estonia,EST,2022,3.9241848,0,0,0
Fiji,FJI,1978,1.3084894,,3.407039,2.7545934
Fiji,FJI,2001,3.4180243,1.0635017,5.317508,0
Fiji,FJI,2002,8.136413,20.027493,2.1800385,2.1623025
Fiji,FJI,2003,3.5599859,2.5039437,3.7559156,5.307292
Fiji,FJI,2004,8.501129,1.2878715,3.2196786,0
Fiji,FJI,2005,7.4902625,1.4243594,6.589482,0
Fiji,FJI,2006,3.7335722,0,5.261704,3.6889026
Fiji,FJI,2007,6.216895,1.2289542,4.0909834,5.275653
Fiji,FJI,2008,6.2397046,1.2258958,2.6290882,2.8340254
Fiji,FJI,2009,2.5167997,1.4200511,4.2601533,4.4754243
Fiji,FJI,2011,1.2900729,1.3771449,0,5.308419
Fiji,FJI,2012,2.6087863,2.55436,1.27718,0
Finland,FIN,1952,6.97269,,4.230684,0.49560153
Finland,FIN,1953,2.3487961,,3.1449952,0.72115386
Finland,FIN,1954,6.129597,,3.4169781,0.47142017
Finland,FIN,1955,6.123017,,4.359383,0.46898815
Finland,FIN,1956,6.259781,,5.4797463,0.35566095
Finland,FIN,1957,6.2786765,,4.5941806,0.98446727
Finland,FIN,1958,5.762411,,3.697479,1.1106998
Finland,FIN,1959,5.0209203,,3.783102,0.8833922
Finland,FIN,1960,7.333469,,4.089263,0.3867973
Finland,FIN,1961,6.584362,,3.3234422,0.7121662
Finland,FIN,1962,3.79107,,3.4906116,0.39962703
Finland,FIN,1963,5.836576,,5.5367994,0.81026334
Finland,FIN,1964,5.998667,,4.9321823,0.9864365
Finland,FIN,1965,6.134969,,4.631368,0.8762048
Finland,FIN,1966,4.8409405,,4.0681415,0.4220003
Finland,FIN,1967,7.2446833,,5.148668,0.427655
Finland,FIN,1968,5.965163,,4.6832314,0.71901065
Finland,FIN,1969,5.6056542,,6.708473,0.43750912
Finland,FIN,1970,4.726368,,5.191966,0.4484305
Finland,FIN,1971,6.3387423,,4.0684624,1.4029181
Finland,FIN,1972,5.3984575,,6.579978,0.5745475
Finland,FIN,1973,4.642765,,3.5330486,0.3215434
Finland,FIN,1974,5.420754,,2.260398,1.1868027
Finland,FIN,1975,8.060323,,2.758198,1.6785564
Finland,FIN,1976,6.3041763,,2.332815,0.34650034
Finland,FIN,1977,4.5068927,,2.2088988,0.7702182
Finland,FIN,1978,5.379236,,2.8495102,0.9493671
Finland,FIN,1979,5.2471695,,1.9329897,1.3311148
Finland,FIN,1980,6.273168,,1.1292144,1.0771992
Finland,FIN,1981,5.3144374,,3.0536804,1.0914052
Finland,FIN,1982,4.920049,,1.5893198,0.32226878
Finland,FIN,1983,3.5335689,,2.187842,0.31416902
Finland,FIN,1984,3.960396,,3.0868962,0.3866976
Finland,FIN,1985,4.9603176,,2.6198182,0
Finland,FIN,1986,1.3071896,,1.0272213,0.34240714
Finland,FIN,1987,3.84369,1.5517242,1.09375,0.3448276
Finland,FIN,1988,3.4418023,1.7367141,1.0420284,0.7939659
Finland,FIN,1989,1.2319064,0.94280326,0.94280326,0.3065604
Finland,FIN,1990,2.766677,1.2201499,1.0973507,0.81037277
Finland,FIN,1991,1.8512805,1.7163364,2.1844282,0.34746352
Finland,FIN,1992,2.7769208,1.8665422,0.6932409,0
Finland,FIN,1993,2.1419828,0.7841087,0.8665511,0.38476336
Finland,FIN,1994,2.1237864,1.0905125,0.46736252,0.38109756
Finland,FIN,1995,4.539952,1.0386014,1.2117016,0.31715825
Finland,FIN,1996,3.6485255,1.3802623,0.9357455,0.3136763
Finland,FIN,1997,1.8501388,1.5612803,1.7174083,0.38971162
Finland,FIN,1998,1.8774524,1.0366849,1.0366849,0.51834244
Finland,FIN,1999,2.208188,1.2696922,0.5235666,0.3040965
Finland,FIN,2000,1.5754483,1.2635303,1.5248551,0
Finland,FIN,2001,2.4935634,0.6170916,1.2569424,0.3591264
Finland,FIN,2002,2.7591703,1.1606352,1.1606352,0.3143458
Finland,FIN,2003,3.335375,0.74371696,0.5577877,0
Finland,FIN,2004,3.627142,1.1332086,0.85252655,0
Finland,FIN,2005,2.7273884,1.1469271,1.5292361,0
Finland,FIN,2006,2.4525733,1.0383155,1.0383155,0
Finland,FIN,2007,3.7467802,0.771065,0.771065,0
Finland,FIN,2008,3.1946025,0.7682483,1.7285587,0.38412416
Finland,FIN,2009,3.596152,0.5138218,0.7636364,0.3480658
Finland,FIN,2010,2.3367138,1.5294782,0.9476697,0
Finland,FIN,2011,2.3744912,0.50544786,0.66159225,0.6867377
Finland,FIN,2012,2.7433996,1.1270653,0.41037932,0.41037932
Finland,FIN,2013,2.4076867,0.736041,1.226886,0
Finland,FIN,2014,1.3711755,2.014451,0.9916601,0
Finland,FIN,2015,1.028669,0.54536235,0.32601005,0
Finland,FIN,2016,3.0422313,1.1680976,0.36703476,0
Finland,FIN,2017,2.0013542,2.025303,0.36993706,0
Finland,FIN,2018,1.9756728,0.74975026,0.74975026,0
Finland,FIN,2019,2.6043234,0.56440896,0.3825928,0
Finland,FIN,2020,0.9650274,0.9824312,0,0
Finland,FIN,2021,1.2753658,1.0108484,0.33607683,2.080819
Finland,FIN,2022,1.2687417,1.0341154,0.4136462,0
France,FRA,1950,4.004962,,3.6551023,0.614177
France,FRA,1951,4.126045,,3.4944003,0.5871738
France,FRA,1952,4.97029,,4.2008705,0.6335739
France,FRA,1953,5.363841,,4.2769313,0.521251
France,FRA,1954,5.2969265,,4.543147,0.44259882
France,FRA,1955,4.464449,,4.538655,0.51979005
France,FRA,1956,5.824846,,4.6856256,0.6122551
France,FRA,1957,5.6088014,,4.536108,0.7352483
France,FRA,1958,6.071094,,4.2610984,0.76002043
France,FRA,1959,6.4509306,,4.277875,0.810676
France,FRA,1960,5.4320865,,4.441672,0.8733624
France,FRA,1961,5.357872,,3.8183606,0.60944515
France,FRA,1962,6.015899,,4.4297333,0.6398504
France,FRA,1963,5.0573726,,3.9639597,0.69308496
France,FRA,1964,5.591955,,3.8825586,0.83197683
France,FRA,1965,5.435833,,3.5950532,0.70702714
France,FRA,1966,4.7065673,,3.7572012,0.7752955
France,FRA,1967,4.7577434,,3.3313503,0.630577
France,FRA,1968,5.4591775,,3.1746786,0.6063993
France,FRA,1969,4.8576536,,3.2396057,0.7129634
France,FRA,1970,5.3070874,,3.181495,0.6862048
France,FRA,1971,5.2256875,,3.097092,0.68409663
France,FRA,1972,5.4803042,,3.1286712,0.5688493
France,FRA,1973,4.766648,,3.2012458,0.69216126
France,FRA,1974,5.2738147,,3.4063926,0.5967403
France,FRA,1975,4.5562325,,2.7824364,0.5844387
